ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_TILENR,Metadata_T_NUMBER,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
7,20,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,501.6187208344771,1454.5780949766677,0,20
7,21,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1714.1733238231097,1480.9058487874465,0,21
7,22,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,344.41128084606345,1506.7179788484136,0,22
7,23,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1655.3530751708429,1505.1924829157176,0,23
7,24,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,346.9259601181684,1581.635893648449,0,24
7,25,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1741.021290533901,1571.2269898460531,0,25
7,26,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1159.334335086401,1596.9954921111946,0,26
7,27,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1445.3755929279862,1601.3134971970676,0,27
7,28,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1382.107599193006,1605.6274377942166,0,28
7,29,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1526.4130943102105,1668.6399064692127,0,29
7,30,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1775.20488385944,1641.4746873138772,0,30
7,31,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,257.6813518406759,1640.147254073627,0,31
7,32,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1281.3018531717748,1689.5181753385602,0,32
7,33,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,266.0988095238095,1682.6095238095238,0,33
7,34,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1419.654135338346,1695.4117987275881,0,34
7,35,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1833.9176361098184,1695.5644485807352,0,35
7,36,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,39.52748782185108,1736.1565762004175,0,36
7,37,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1542.2321709079486,1750.9927741124725,0,37
7,38,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1355.68754525706,1762.971397538016,0,38
7,39,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1627.831091180867,1791.9424514200298,0,39
7,40,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,1165.127659574468,1808.9752916952643,0,40
7,41,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_036.normalized.tile.tissue.png,0,AE4780,SMA,0,036,,84.3322734499205,1825.4745627980922,0,41
